,Genero,Mascota,Serv_necesarios,Atenc_pers,Confi_segur,Prof_alt_capac,Cerca_viv,Infraes_atract,Precio_acces,Excelent_calid_precio,Medico_carism,Inspira_confianz,Conoce_profund,Buen_trato_asist,Recon_logro_asist,Corrig_error,Disposic_pago_vacunas,Disposic_pago_consult,Disposic_pago_esteriliz,Disposic_pago_baños,Disposic_pago_cortepelo,Disposic_pago_corteuna,Disposic_pago_despar_inter,Disposic_pago_despar_exter,Disposic_pago_accesor,Disposic_pago_comida,Disposic_pago_ecograf,Disposic_pago_radiograf,Disposic_pago_analab,Cliente_frecuen,Regresa_clinic,Conce_redes_clinic,Sigue_redes_clinic,Comenta_redes_clinic
0,1,1,1,0,1,1,2,1,2,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0
5,0,0,1,1,1,1,0,0,1,0,2,1,0,0,2,1,1,1,4,0,2,1,1,0,0,0,2,1,4,1,0,0,0,0
10,0,0,1,1,1,1,1,1,1,1,2,0,0,0,1,1,0,0,4,0,0,1,0,0,0,2,3,3,4,1,0,0,0,0
46,0,0,1,0,1,1,1,1,1,1,2,1,0,0,2,1,1,1,0,2,0,1,1,0,2,0,1,1,2,1,0,1,1,0
8,1,1,0,0,0,1,3,1,2,0,0,1,0,0,2,1,0,1,4,0,0,1,1,0,2,2,2,2,3,1,0,1,1,0
12,0,1,0,1,1,1,0,0,1,1,2,1,0,0,0,1,0,1,3,2,2,1,1,3,2,2,1,1,2,1,0,0,0,0
39,0,0,0,1,0,1,1,1,0,1,2,1,0,0,2,1,0,1,0,2,2,0,1,1,0,2,2,3,2,0,0,0,0,0
29,0,1,1,0,1,0,1,1,0,1,2,1,0,0,2,1,4,1,0,2,0,1,1,0,2,2,2,3,3,1,0,0,0,0
1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,2,1,1,1,3,0,1,1,1,0,1,2,2,3,0,1,0,1,1,1
6,1,1,0,1,1,1,3,2,0,0,2,1,0,0,2,1,1,1,0,0,2,1,1,3,2,2,1,1,3,0,0,0,0,0
52,1,0,1,0,1,1,1,1,1,0,2,1,0,0,2,1,4,0,0,0,0,1,1,3,0,2,3,3,4,1,0,1,1,1
54,1,1,0,0,1,1,0,0,0,1,2,1,0,0,2,1,4,0,0,2,2,1,0,0,0,2,2,3,4,0,0,1,1,0
43,1,1,1,0,1,1,1,1,0,1,2,1,0,0,2,0,4,1,4,0,2,1,1,3,0,0,2,2,3,1,0,1,1,1
30,1,1,1,0,0,0,1,1,1,1,2,1,0,0,2,1,4,0,3,0,0,1,1,1,2,2,1,0,2,1,0,1,1,0
35,1,1,0,1,0,1,1,0,0,0,2,1,0,0,2,1,4,0,4,0,0,0,0,0,2,0,3,1,3,1,0,0,0,0
24,0,0,1,1,1,1,3,0,1,1,0,1,0,0,2,1,4,0,0,0,0,1,1,0,0,0,2,1,2,1,0,1,1,1
15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,4,1,1,2,0,1,1,3,2,2,1,1,2,0,0,0,0,0
31,0,0,1,0,1,0,0,1,1,0,2,1,0,0,2,1,0,1,3,2,2,1,1,1,0,2,1,3,2,1,0,1,1,1
37,1,1,1,1,1,0,1,1,2,1,2,1,0,0,2,1,0,1,4,1,2,1,0,0,2,0,1,2,2,1,0,1,1,1
7,0,0,0,0,0,0,0,2,0,2,2,1,0,0,2,1,1,1,3,0,0,1,0,2,2,2,2,2,3,0,0,0,0,0
20,0,0,0,1,1,1,0,1,1,1,2,1,0,0,2,1,4,1,0,0,2,1,1,3,2,2,1,3,3,1,0,1,1,0
53,1,1,0,0,0,0,1,0,1,1,2,1,0,0,2,1,4,1,4,0,0,1,0,3,1,2,3,3,0,1,0,0,0,0
3,0,0,0,1,1,1,1,0,0,0,2,1,0,0,2,1,2,0,0,0,0,1,1,2,2,2,0,0,0,1,0,0,0,0
4,1,1,0,1,1,1,0,0,0,0,0,1,0,0,2,1,3,1,0,0,0,1,1,2,2,2,3,0,0,0,0,0,0,0
16,0,1,0,0,1,1,1,0,0,0,2,1,0,0,2,1,0,1,3,0,0,1,1,3,0,2,2,2,3,1,0,1,1,0
41,1,0,1,1,1,1,2,0,1,2,2,1,0,0,2,1,0,0,4,0,0,1,0,3,2,2,3,1,3,1,0,1,1,0
36,1,0,0,1,1,0,1,1,0,0,2,1,0,0,2,1,4,0,4,0,0,0,0,1,2,0,3,1,3,1,0,1,1,0
14,1,0,1,1,1,1,3,0,1,1,2,1,0,0,2,1,4,1,2,2,2,1,1,3,2,2,1,1,2,1,0,0,0,0
48,1,1,0,1,0,1,1,0,0,0,2,1,0,0,2,1,4,0,3,0,0,1,0,3,2,2,2,2,3,1,0,0,0,0
25,0,0,1,1,1,1,1,1,1,1,2,1,0,0,2,1,0,1,0,0,2,1,0,0,2,0,2,1,2,1,0,0,0,0
47,1,0,0,1,1,0,1,1,0,0,2,1,0,0,2,1,4,1,3,2,0,1,0,0,2,2,1,0,2,1,0,0,0,0
44,1,1,1,1,0,1,0,0,1,1,2,1,0,0,2,1,0,0,4,0,2,1,0,3,0,0,3,2,3,0,0,0,0,0
9,0,1,0,1,1,1,1,1,1,1,2,1,0,0,2,1,0,0,3,1,0,0,0,0,0,1,3,3,4,1,0,1,1,1
32,1,1,1,1,1,1,0,0,1,1,2,1,0,0,2,1,4,1,0,2,2,1,1,0,0,2,1,1,2,1,0,0,0,1
33,0,0,1,1,1,1,3,0,0,1,2,1,0,0,2,1,0,1,0,2,2,1,1,0,1,2,3,2,2,1,0,0,0,0
22,1,0,1,1,1,1,1,1,1,1,2,1,0,0,2,1,0,0,4,2,2,1,1,3,2,2,1,3,2,1,0,1,0,0
42,0,1,1,1,1,0,1,0,1,1,0,1,0,0,2,1,4,1,0,0,1,1,1,3,2,0,2,1,2,1,0,0,0,0
19,1,1,1,1,1,1,0,1,1,1,2,1,0,0,2,1,4,1,0,0,2,1,1,3,2,2,1,3,3,1,0,1,1,1
17,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,2,2,2,1,0,3,0,2,3,3,4,1,0,1,1,1
38,0,0,0,0,1,1,0,2,0,1,2,1,0,0,2,1,0,0,0,2,2,1,1,0,0,2,2,2,2,0,0,0,0,0
34,0,1,0,1,1,0,1,1,0,0,2,1,0,0,2,1,4,0,0,0,0,0,1,0,2,0,2,2,3,1,0,1,1,0
28,1,0,1,1,1,1,1,0,0,1,2,1,0,0,2,1,1,0,4,0,0,0,1,3,2,0,3,2,3,1,0,0,0,0
2,1,1,0,1,1,1,0,0,0,1,1,1,0,0,2,1,1,1,0,0,0,1,1,1,2,0,3,3,4,1,1,0,0,0
45,0,0,0,1,1,0,0,1,1,1,2,1,0,0,2,1,0,1,4,2,0,1,0,0,0,2,4,2,4,1,0,1,1,0
